service_id,date,exception_type
53_WKD:V,20120305,2
53_WKD:V,20120306,2
53_WKD:V,20120307,2
53_WKD:V,20120308,2
53_WKD:V,20120309,2
53_WKD:V,20120312,2
53_WKD:V,20120313,2
53_WKD:V,20120314,2
53_WKD:V,20120315,2
53_WKD:V,20120316,2
53_WKD:V,20120319,2
53_WKD:V,20120320,2
53_WKD:V,20120321,2
53_WKD:V,20120322,2
53_WKD:V,20120323,2
53_SAT:L,20120331,2
53_SAT:S,20120331,2
53_SAT:R,20120331,1
53_SUN:L,20120401,2
53_SUN:S,20120401,2
53_SUN:R,20120401,1
53_WKD:G,20120402,2
53_WKD:S,20120402,2
53_WKD:S#6,20120402,2
53_SUN:L,20120402,2
53_WKD:R,20120402,1
53_WKD:G,20120403,2
53_WKD:S,20120403,2
53_WKD:S#6,20120403,2
53_SUN:L,20120403,2
53_WKD:R,20120403,1
53_WKD:G,20120404,2
53_WKD:S,20120404,2
53_WKD:S#6,20120404,2
53_SUN:L,20120404,2
53_WKD:R,20120404,1
53_WKD:G,20120405,2
53_WKD:S,20120405,2
53_WKD:S#6,20120405,2
53_SUN:L,20120405,2
53_WKD:R,20120405,1
53_WKD:G,20120406,2
53_WKD:S,20120406,2
53_WKD:S=6,20120406,2
53_SAT:L,20120406,2
53_WKD:R,20120406,1
53_SAT:L,20120407,2
53_SAT:S,20120407,2
53_SAT:R,20120407,1
53_SAT:L,20120519,2
53_SAT:S,20120519,2
53_SAT:R,20120519,1
53_SUN:L,20120520,2
53_SUN:S,20120520,2
53_SUN:R,20120520,1
53_WKD:G,20120521,2
53_WKD:S,20120521,2
53_WKD:S#6,20120521,2
53_SUN:L,20120521,2
53_WKD:R,20120521,1
53_WKD:G,20120522,2
53_WKD:S,20120522,2
53_WKD:S#6,20120522,2
53_SUN:L,20120522,2
53_WKD:R,20120522,1
53_WKD:G,20120523,2
53_WKD:S,20120523,2
53_WKD:S#6,20120523,2
53_SUN:L,20120523,2
53_WKD:R,20120523,1
53_WKD:G,20120524,2
53_WKD:S,20120524,2
53_WKD:S#6,20120524,2
53_SUN:L,20120524,2
53_WKD:R,20120524,1
53_WKD:G,20120525,2
53_WKD:S,20120525,2
53_WKD:S=6,20120525,2
53_SAT:L,20120525,2
53_WKD:R,20120525,1
53_SAT:L,20120526,2
53_SAT:S,20120526,2
53_SAT:R,20120526,1
