RT,(r=),DIR,(d=),(Published Stop) TEXT,(Name) #STOPID,(Stop name) TEXT,(s=)
01,61,CapSq,102,University & Breese,0133,UNIV AVE & N BREESE [EB#0133],770
01,61,CapSq,102,NULL,0313,W WILSON & S BASSETT [EB#0313],820
01,61,CapSq,102,NULL,0435,W JOHNSON & N LAKE [EB#0435],841
01,61,CapSq,102,NULL,0455,W JOHNSON & N PARK [EB#0455],847
01,61,CapSq,102,NULL,0470,N BASSETT & W DAYTON [SB#0470],853
01,61,CapSq,102,NULL,0520,S BASSETT & W DOTY [SB#0520],865
01,61,CapSq,102,NULL,0581,W JOHNSON & N CHARTER [EB#0581],886
01,61,CapSq,102,NULL,0710,S BASSETT & WEST WASH [SB#0710],910
01,61,CapSq,102,NULL,0741,W JOHNSON & N MILLS [EB#0741],914
01,61,CapSq,102,NULL,0791,W WILSON & S HAMILTON [EB#0791],925
01,61,CapSq,102,NULL,0809,CAMPUS & BABCOCK RR [EB#0809],3457
01,61,CapSq,102,NULL,0941,W JOHNSON & N FRANCES [EB#0941],954
01,61,CapSq,102,NULL,1101,W MAIN & S CARROLL [EB#1101],964
01,61,CapSq,102,Pinckney & Main,1787,S PINCKNEY & E MAIN [NB#1787],1168
01,61,CapSq,102,University & Highland,2561,UNIV AVE & HIGHLAND [EB#2561],1408
01,61,CapSq,102,NULL,2605,UNIV AVE & WALNUT [EB#2605],1417
01,61,CapSq,102,NULL,2717,UNIV AVE & FOREST [EB#2717],1452
01,61,CapSq,102,NULL,2921,UNIV AVE & PRINCETON [EB#2921],1509
01,61,Old University,137,NULL,0087,N BROOM & W GORHAM [NB#0087],755
01,61,Old University,137,University & Park,0100,UNIV AVE & N PARK [WB#0100],760
01,61,Old University,137,NULL,0160,UNIV AVE & N RANDALL [WB#0160],777
01,61,Old University,137,NULL,0161,S BROOM & W DOTY [NB#0161],778
01,61,Old University,137,NULL,0178,UNIV AVE & N ORCHARD [WB#0178],787
01,61,Old University,137,NULL,0234,UNIV AVE & N MILLS [WB#0234],803
01,61,Old University,137,NULL,0248,W WILSON & S CARROLL [WB#0248],806
01,61,Old University,137,NULL,0428,W GORHAM & N BASSETT [WB#0428],3456
01,61,Old University,137,NULL,0564,W WILSON & S HAMILTON [WB#0564],880
01,61,Old University,137,NULL,0568,UNIV AVE & N FRANCES [WB#0568],882
01,61,Old University,137,NULL,0593,N BROOM & W DAYTON [NB#0593],891
01,61,Old University,137,NULL,0668,W DOTY & S HENRY [WB#0668],902
01,61,Old University,137,NULL,0670,UNIV AVE & N LAKE [WB#0670],903
01,61,Old University,137,NULL,0965,S BROOM & WEST WASH [NB#0965],957
01,61,Old University,137,NULL,1100,E MIFFLIN & N PINCKNEY [WB#1100],963
01,61,Old University,137,NULL,1101,W MAIN & S CARROLL [EB#1101],964
01,61,Old University,137,NULL,1324,N CARROLL & W MIFFLIN [SB#1324],1038
01,61,Old University,137,Pinckney & Main,1787,S PINCKNEY & E MAIN [NB#1787],1168
01,61,Old University,137,NULL,1872,M L K JR & CCB [SB#1872],1190
01,61,Old University,137,University & Highland,2561,UNIV AVE & HIGHLAND [EB#2561],1408
02,92,NTP,115,University & Breese,0133,UNIV AVE & N BREESE [EB#0133],770
02,92,NTP,115,NULL,0435,W JOHNSON & N LAKE [EB#0435],841
02,92,NTP,115,NULL,0455,W JOHNSON & N PARK [EB#0455],847
02,92,NTP,115,NULL,0555,W JOHNSON & N BASSETT [EB#0555],876
02,92,NTP,115,NULL,0581,W JOHNSON & N CHARTER [EB#0581],886
02,92,NTP,115,NULL,0741,W JOHNSON & N MILLS [EB#0741],914
02,92,NTP,115,NULL,0809,CAMPUS & BABCOCK RR [EB#0809],3457
02,92,NTP,115,NULL,0839,W JOHNSON & N BROOM [EB#0839],933
02,92,NTP,115,NULL,0883,STATE & N FAIRCHILD [EB#0883],941
02,92,NTP,115,NULL,0941,W JOHNSON & N FRANCES [EB#0941],954
02,92,NTP,115,Main & Carroll,1101,W MAIN & S CARROLL [EB#1101],964
02,92,NTP,115,NULL,1121,E JOHNSON & N LIVINGSTON [EB#1121],972
02,92,NTP,115,NULL,1123,ROTH & RUSKIN [EB#1123],974
02,92,NTP,115,NULL,1151,E JOHNSON & N PATERSON [EB#1151],984
02,92,NTP,115,NULL,1157,N BALDWIN & SHERMAN [NB#1157],987
02,92,NTP,115,NULL,1161,N SHERMAN & ROTH [NB#1161],990
02,92,NTP,115,NULL,1177,FORDEM & LAKEWOOD [NB#1177],994
02,92,NTP,115,E Johnson & Ingersoll,1209,E JOHNSON & N INGERSOLL [EB#1209],4173
02,92,NTP,115,NULL,1261,N HAMILTON & E JOHNSON [NB#1261],1020
02,92,NTP,115,NULL,1324,N CARROLL & W MIFFLIN [SB#1324],1038
02,92,NTP,115,NULL,1325,E JOHNSON & N BALDWIN [EB#1325],1039
02,92,NTP,115,Sherman Terrace,1329,SHERMAN & SHERMAN [EB#1329],1041
02,92,NTP,115,Fordem & McGuire,1379,FORDEM & MCGUIRE [NB#1379],1050
02,92,NTP,115,NULL,1397,E JOHNSON & N BLOUNT [EB#1397],4175
02,92,NTP,115,NULL,1495,N PINCKNEY & E MIFFLIN [NB#1495],1088
02,92,NTP,115,NULL,1533,SHERMAN & MCGUIRE [EB#1533],1100
02,92,NTP,115,NULL,1577,SHERMAN & N THORTON [EB#1577],1110
02,92,NTP,115,NULL,1595,E JOHNSON & N THORTON [EB#1595],1113
02,92,NTP,115,NULL,1707,FORDEM & E JOHNSON [NB#1707],1145
02,92,NTP,115,NULL,1715,N SHERMAN & OXFORD [NB#1715],1148
02,92,NTP,115,NULL,1717,N SHERMAN & FORDEM [NB#1717],3980
02,92,NTP,115,NULL,1767,N BALDWIN & E JOHNSON [NB#1767],1161
02,92,NTP,115,NULL,1787,S PINCKNEY & E MAIN [NB#1787],1168
02,92,NTP,115,NULL,1831,E JOHNSON & N BLAIR [EB#1831],1180
02,92,NTP,115,NULL,1923,N SHERMAN & COMMERCIAL [NB#1923],1208
02,92,NTP,115,NULL,2101,SHEBOYGAN & STATE OFFICE [EB#2101],1239
02,92,NTP,115,NULL,2121,EAU CLAIRE & REGENT [NB#2121],1248
02,92,NTP,115,University Bay & University,2131,U BAY & UNIV AVE [NB#2131],1251
02,92,NTP,115,Sheboygan & Eau Claire,2175,SHEBOYGAN & EAU CLAIRE [EB#2175],1277
02,92,NTP,115,NULL,2191,UNIV AVE & N MIDVALE [EB#2191],1285
02,92,NTP,115,NULL,2201,REGENT & S WHITNEY [EB#2201],1293
02,92,NTP,115,NULL,2249,S WHITNEY & SOUTH HILL [NB#2249],1314
02,92,NTP,115,NULL,2349,HIGHLAND & MARSH [EB#2349],1347
02,92,NTP,115,NULL,2395,SHEBOYGAN & N SEGOE [EB#2395],1368
02,92,NTP,115,NULL,2401,S WHITNEY & MINERAL PT [NB#2401],1372
02,92,NTP,115,NULL,2473,HIGHLAND & WAISMAN CTR [NB#2473],3459
02,92,NTP,115,NULL,2501,HILLDALE DR & MALL [EB#2501],3560
02,92,NTP,115,NULL,2561,UNIV AVE & HIGHLAND [EB#2561],1408
02,92,NTP,115,NULL,2595,UNIV AVE & SHOREWOOD [EB#2595],1414
02,92,NTP,115,NULL,2605,UNIV AVE & WALNUT [EB#2605],1417
02,92,NTP,115,NULL,2669,S WHITNEY & MARATHON [NB#2669],1436
02,92,NTP,115,NULL,2715,UNIV AVE & SCHMITT [EB#2715],1451
02,92,NTP,115,NULL,2717,UNIV AVE & FOREST [EB#2717],1452
