date,exception_type,service_id
20141220,2,65_SAT:L
20141220,2,65_SAT:S
20141220,1,65_SAT:R
20141221,2,65_SUN:L
20141221,2,65_SUN:S
20141221,1,65_SUN:R
20141222,2,65_WKD:G
20141222,2,65_WKD:L#6
20141222,2,65_WKD:S
20141222,2,65_WKD:S#6
20141222,1,65_WKD:R
20141223,2,65_WKD:G
20141223,2,65_WKD:L#6
20141223,2,65_WKD:S
20141223,2,65_WKD:S#6
20141223,1,65_WKD:R
20141224,2,65_WKD
20141224,2,65_WKD:G
20141224,2,65_WKD:L#6
20141224,2,65_WKD:S
20141224,2,65_WKD:S#6
20141224,1,65_D24
20141225,2,65_WKD
20141225,2,65_WKD:G
20141225,2,65_WKD:L#6
20141225,2,65_WKD:S
20141225,2,65_WKD:S#6
20141225,1,65_HOL
20141226,2,65_WKD:G
20141226,2,65_WKD:L=6
20141226,2,65_WKD:S
20141226,2,65_WKD:S=6
20141226,1,65_WKD:R
20141227,2,65_SAT:L
20141227,2,65_SAT:S
20141227,1,65_SAT:R
20141228,2,65_SUN:L
20141228,2,65_SUN:S
20141228,1,65_SUN:R
20141229,2,65_WKD:G
20141229,2,65_WKD:L#6
20141229,2,65_WKD:S
20141229,2,65_WKD:S#6
20141229,1,65_WKD:R
20141230,2,65_WKD:G
20141230,2,65_WKD:L#6
20141230,2,65_WKD:S
20141230,2,65_WKD:S#6
20141230,1,65_WKD:R
20141231,2,65_WKD
20141231,2,65_WKD:G
20141231,2,65_WKD:L#6
20141231,2,65_WKD:S
20141231,2,65_WKD:S#6
20141231,1,65_D31
20150101,2,65_WKD
20150101,2,65_WKD:G
20150101,2,65_WKD:L#6
20150101,2,65_WKD:S
20150101,2,65_WKD:S#6
20150101,1,65_HOL
20150102,2,65_WKD:G
20150102,2,65_WKD:L=6
20150102,2,65_WKD:S
20150102,2,65_WKD:S=6
20150102,1,65_WKD:R
20150103,2,65_SAT:L
20150103,2,65_SAT:S
20150103,1,65_SAT:R
20150104,2,65_SUN:L
20150104,2,65_SUN:S
20150104,1,65_SUN:R
20150105,2,65_WKD:G
20150105,2,65_WKD:L#6
20150105,2,65_WKD:S
20150105,2,65_WKD:S#6
20150105,1,65_WKD:R
20150106,2,65_WKD:G
20150106,2,65_WKD:L#6
20150106,2,65_WKD:S
20150106,2,65_WKD:S#6
20150106,1,65_WKD:R
20150107,2,65_WKD:G
20150107,2,65_WKD:L#6
20150107,2,65_WKD:S
20150107,2,65_WKD:S#6
20150107,1,65_WKD:R
20150108,2,65_WKD:G
20150108,2,65_WKD:L#6
20150108,2,65_WKD:S
20150108,2,65_WKD:S#6
20150108,1,65_WKD:R
20150109,2,65_WKD:G
20150109,2,65_WKD:L=6
20150109,2,65_WKD:S
20150109,2,65_WKD:S=6
20150109,1,65_WKD:R
20150110,2,65_SAT:L
20150110,2,65_SAT:S
20150110,1,65_SAT:R
20150111,2,65_SUN:L
20150111,2,65_SUN:S
20150111,1,65_SUN:R
20150112,2,65_WKD:G
20150112,2,65_WKD:L#6
20150112,2,65_WKD:S
20150112,2,65_WKD:S#6
20150112,1,65_WKD:R
20150113,2,65_WKD:G
20150113,2,65_WKD:L#6
20150113,2,65_WKD:S
20150113,2,65_WKD:S#6
20150113,1,65_WKD:R
20150114,2,65_WKD:G
20150114,2,65_WKD:L#6
20150114,2,65_WKD:S
20150114,2,65_WKD:S#6
20150114,1,65_WKD:R
20150115,2,65_WKD:G
20150115,2,65_WKD:L#6
20150115,2,65_WKD:S
20150115,2,65_WKD:S#6
20150115,1,65_WKD:R
20150116,2,65_WKD:G
20150116,2,65_WKD:L=6
20150116,2,65_WKD:S
20150116,2,65_WKD:S=6
20150116,1,65_WKD:R
20150117,2,65_SAT:L
20150117,2,65_SAT:S
20150117,1,65_SAT:R
20150118,2,65_SUN:L
20150118,2,65_SUN:S
20150118,1,65_SUN:R
20150119,2,65_WKD
20150119,2,65_WKD:G
20150119,2,65_WKD:L#6
20150119,2,65_WKD:S
20150119,2,65_WKD:S#6
20150119,1,65_MWK
20150119,1,65_MWK:R
20150327,2,67_WKD:L=6
20150328,2,67_SAT:L
20150328,2,67_SAT:S
20150328,1,67_SAT:R
20150329,2,67_SUN:L
20150329,2,67_SUN:S
20150329,1,67_SUN:R
20150330,2,67_WKD:G
20150330,2,67_WKD:L#6
20150330,2,67_WKD:S
20150330,2,67_WKD:S#6
20150330,1,67_WKD:R
20150331,2,67_WKD:G
20150331,2,67_WKD:L#6
20150331,2,67_WKD:S
20150331,2,67_WKD:S#6
20150331,1,67_WKD:R
20150401,2,67_WKD:G
20150401,2,67_WKD:L#6
20150401,2,67_WKD:S
20150401,2,67_WKD:S#6
20150401,1,67_WKD:R
20150402,2,67_WKD:G
20150402,2,67_WKD:L#6
20150402,2,67_WKD:S
20150402,2,67_WKD:S#6
20150402,1,67_WKD:R
20150403,2,67_WKD:G
20150403,2,67_WKD:L=6
20150403,2,67_WKD:S
20150403,2,67_WKD:S=6
20150403,1,67_WKD:R
20150404,2,67_SAT:L
20150404,2,67_SAT:S
20150404,1,67_SAT:R
20150516,2,67_SAT:L
20150516,2,67_SAT:S
20150516,1,67_SAT:R
20150517,2,67_SUN:L
20150517,2,67_SUN:S
20150517,1,67_SUN:R
20150518,2,67_WKD:G
20150518,2,67_WKD:L#6
20150518,2,67_WKD:S
20150518,2,67_WKD:S#6
20150518,1,67_WKD:R
20150519,2,67_WKD:G
20150519,2,67_WKD:L#6
20150519,2,67_WKD:S
20150519,2,67_WKD:S#6
20150519,1,67_WKD:R
20150520,2,67_WKD:G
20150520,2,67_WKD:L#6
20150520,2,67_WKD:S
20150520,2,67_WKD:S#6
20150520,1,67_WKD:R
20150521,2,67_WKD:G
20150521,2,67_WKD:L#6
20150521,2,67_WKD:S
20150521,2,67_WKD:S#6
20150521,1,67_WKD:R
20150522,2,67_WKD:G
20150522,2,67_WKD:L=6
20150522,2,67_WKD:S
20150522,2,67_WKD:S=6
20150522,1,67_WKD:R
20150523,2,67_SAT:L
20150523,2,67_SAT:S
20150523,1,67_SAT:R
