fare_id,route_id,route_short_name
c,1826,01
c,1827,02
c,1828,03
c,1829,04
c,1830,05
c,1831,06
c,2477,07
c,1832,08
c,1833,09
c,4084,10
c,2478,11
c,1834,12
c,2479,13
c,1835,14
c,1836,15
c,2480,16
c,1837,17
c,1838,18
c,1839,19
c,1840,20
c,1841,21
c,1842,22
c,1844,25
c,3727,26
c,1845,27
c,1846,28
c,1847,29
c,1848,30
c,1850,32
c,1851,33
c,1852,34
c,3728,36
c,1853,37
c,1854,38
c,1855,39
c,1856,40
c,2481,44
c,1860,47
c,1861,48
c,1862,50
c,1863,51
c,3122,52
c,2045,55
c,1865,56
c,1866,57
c,1867,58
c,3993,59
c,2482,63
c,2483,67
c,2484,68
c,2485,70
c,2486,71
c,2487,72
c,2488,73
c,2489,74
c,5247,75
c,3729,78
f,1872,80
f,1873,81
f,1874,82
f,3643,84
