route_id,agency_id,route_short_name,route_long_name,route_service_name,route_desc,route_type,route_url,route_color,route_text_color
1826,MMT,01,,CAP SQR:UNIV AV,Serves Capitol Square to/from Old Univeristy Avenue. Operates regularly in both directions only between about 9 AM and 3 PM on weekday service days.,3,http://www.cityofmadison.com/metro/schedules/Route01/index.cfm,E3D23E,000000
1827,MMT,02,,WEST TP:NORTH TP,Serves West Transfer Point to/from North Transfer Point. Operates regularly in both directions during entire day on every service day.,3,http://www.cityofmadison.com/metro/schedules/Route02/index.cfm,AF0067,FFFFFF
1828,MMT,03,,WEST TP:EAST TP,Serves West Transfer Point to/from East Transfer Point. Operates regularly in both directions during entire day on weekday service days only.,3,http://www.cityofmadison.com/metro/schedules/Route03/index.cfm,CD8382,000000
1829,MMT,04,,SOUTH TP:NORTH TP,Serves South Transfer Point to/from North Transfer Point. Operates regularly in both directions during entire day on every service day.,3,http://www.cityofmadison.com/metro/schedules/Route04/index.cfm,007A48,000000
1830,MMT,05,,SOUTH TP:EAST TP,Serves South Transfer Point to/from East Transfer Point. Operates regularly in both directions during entire day on every service day.,3,http://www.cityofmadison.com/metro/schedules/Route05/index.cfm,B46A5B,000000
1831,MMT,06,,WEST TP:E TOWNE,Serves West Transfer Point to/from East Towne Mall. Operates regularly in both directions during entire day on every service day; via Tokay and MATC only during weekday service days.,3,http://www.cityofmadison.com/metro/schedules/Route06/index.cfm,EC2B27,000000
2477,MMT,07,,WEST TP:EAST TP,Serves West Transfer Point to/from East Transfer Point. Operates regularly in both directions during entire day on weekend and holiday/modified service days only.,3,http://www.cityofmadison.com/metro/schedules/Route07/index.cfm,A2C334,000000
1832,MMT,08,,CAP SQR:SP HRBR,Serves Capitol Square to/from Spring Harbor. Operates regularly in both directions during entire day on weekend and holiday/modified service days only.,3,http://www.cityofmadison.com/metro/schedules/Route08/index.cfm,EAA15A,000000
1833,MMT,09,,EAST TP:UW HOSP,Serves East Transfer Point to/from UW Hospital. Operates regularly in both directions between about 9 AM and 3 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/schedules/Route09/index.cfm,AD9B4C,000000
4084,MMT,10,,CAMPUS:SHK-ATWD,Serves Schenk-Atwood to/from UW Campus. Operates regularly in both directions between about 9 AM and 3 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/schedules/Route10/index.cfm,808000,000000
2478,MMT,11,,WEST TP:D MILL,Serves West Transfer Point to/from UW Campus-Capitol Square-Dutch Mill. Operates regularly in Dutch Mill direction between about 6 AM and 9 AM and in West Transfer Point direction between about 3 PM and 6 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/schedules/Route11/index.cfm,D3886A,000000
1834,MMT,12,,WEST TP:D MILL,Serves Dutch Mill to/from Capitol Square-West Transfer Point. Operates regularly in West Transfer Point direction between about 6 AM and 9 AM and in Dutch Mill direction between about 3 PM and 6 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/schedules/Route12/index.cfm,9B8821,000000
2479,MMT,13,,SOUTH TP:CAMPUS,Serves South Transfer Point to/from UW Campus. Operates regularly in both directions during entire day on every service day.,3,http://www.cityofmadison.com/metro/schedules/Route13/index.cfm,803E0E,000000
1835,MMT,14,,WEX RDG:R HILL/CAP SQR,Serves Wexford Ridge to/from Capitol Square-Richmond Hill. Operates regularly in both directions on weekday service days only; between Wexford Ridge and Capitol Square during entire day; between Richmond Hill and Capitol Square only between about 6 AM and 9 AM and 3 PM and 6 PM.,3,http://www.cityofmadison.com/metro/schedules/Route14/index.cfm,778D22,000000
1836,MMT,15,,JUN RDG:R HILL/CAP SQR,Serves Junction Ridge to/from Capitol Square-Richmond Hill. Operates regularly in both directions on weekday service days only; between Junction Ridge and Capitol Square during entire day; between Richmond Hill and Capitol Square and via Deming only between about 6 AM and 9 AM and 3 PM and 6 PM.,3,http://www.cityofmadison.com/metro/schedules/Route15/index.cfm,BCC926,000000
2480,MMT,16,,SOUTH TP:EAST TP,Serves South Transfer Point to/from East Transfer Point. Operates regularly in both directions during entire day on every service day.,3,http://www.cityofmadison.com/metro/schedules/Route16/index.cfm,B86FAD,000000
1837,MMT,17,,NORTH TP:EAST TP,Serves North Transfer Point to/from East Transfer Point. Operates regularly in both directions between about 6 AM and 10 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/schedules/Route17/index.cfm,3B69B3,000000
1838,MMT,18,,WEST TP:SOUTH TP,Serves West Transfer Point to/from South Transfer Point. Operates regularly in both directions during entire day on every service day.,3,http://www.cityofmadison.com/metro/schedules/Route18/index.cfm,3966B0,000000
1839,MMT,19,,CAP SQR:ALLD DR/CH GRDN,Serves Chalet Gardens-Allied Drive to/from Capitol Square. Operates regularly in both directions on weekday service days only; between Allied Drive and Capitol Square during entire day; between Chalet Gardens and Capitol Square only between about 6 AM and 8 AM and 4 PM and 6 PM.,3,http://www.cityofmadison.com/metro/schedules/Route19/index.cfm,B8DB99,000000
1840,MMT,20,,NORTH TP:E TOWNE,Serves North Transfer Point to/from East Towne Mall. Operates regularly in both directions during entire day on every service day; via Shopko only during evenings on weekday service days and entire day on weekend and holiday/modified service days.,3,http://www.cityofmadison.com/metro/schedules/Route20/index.cfm,A7533E,000000
1841,MMT,21,,LAKEVW:NORTH TP,Serves North Transfer Point to/from Lakeview. Operates regularly during entire day on every service day.,3,http://www.cityofmadison.com/metro/schedules/Route21/index.cfm,729680,000000
1842,MMT,22,,MENDOTA:NORTH TP,Serves North Transfer Point to/from Mendota. Operates regularly during entire day on every service day.,3,http://www.cityofmadison.com/metro/schedules/Route22/index.cfm,44BC9B,000000
1844,MMT,25,,CAP SQR:AM CNTR,Serves Capitol Square to/from The American Center. Operates limited trips in American Center direction in the morning and limited trips in Capitol Square direction in the afternoon on weekday service days only.,3,http://www.cityofmadison.com/metro/schedules/Route25/index.cfm,A29F9A,000000
3727,MMT,26,,AM CNTR:E TOWNE,Serves East Towne Mall to/from The American Center. Operates regularly only between about 9 AM and 3 PM on weekday service days.,3,http://www.cityofmadison.com/metro/schedules/Route26/index.cfm,561083,FFFFFF
1845,MMT,27,,NORTH TP:CAMPUS,Serves North Transfer Point to/from UW Campus. Operates regularly in UW Campus direction between about 6 AM and 9 AM and in North Transfer Point direction between about 3 PM and 6 PM on weekday service days only; limited trips in opposite direction during morning and afternoon.,3,http://www.cityofmadison.com/metro/schedules/Route27/index.cfm,7DC0D0,000000
1846,MMT,28,,NORTH TP:WEST TP,Serves North Transfer Point to/from West Transfer Point. Operates regularly in West Transfer Point direction between about 5 AM and 9 AM and in North Transfer Point direction between about 2 PM and 6 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/schedules/Route28/index.cfm,00B6D1,000000
1847,MMT,29,,CAMPUS:SCHL RD,Serves School Road to/from UW Campus. Operates limited trips in UW Campus direction in the morning and limited trips in School Road direction in the afternoon on weekday service days only.,3,http://www.cityofmadison.com/metro/schedules/Route29/index.cfm,2398A4,000000
1848,MMT,30,,EAST TP:E TOWNE,Serves East Transfer Point to/from East Towne Mall. Operates regularly during entire day on every service day.,3,http://www.cityofmadison.com/metro/schedules/Route30/index.cfm,DA8A39,000000
1850,MMT,32,,ACEWOOD-THOMPSN:EAST TP,Serves East Transfer Point to/from Acewood-Thompson. Operates regularly between about 9 AM and 3 PM and 7 PM and 11 PM on weekday service days; operates regularly during entire day on weekend and holiday/modified service days.,3,http://www.cityofmadison.com/metro/schedules/Route32/index.cfm,3280A9,000000
1851,MMT,33,,HIESTND:EAST TP,Serves East Transfer Point to/from Hiestand. Operates regularly only between about 9 AM and 3 PM on weekday service days.,3,http://www.cityofmadison.com/metro/schedules/Route33/index.cfm,00A69B,000000
1852,MMT,34,,MATC:EAST TP,Serves East Transfer Point to/from MATC Truax. Operates regularly only between about 7 AM and 6 PM on weekday service days.,3,http://www.cityofmadison.com/metro/schedules/Route34/index.cfm,976C25,000000
3728,MMT,36,,CITY VW:E TOWNE,Serves East Towne Mall to/from City View. Operates regularly during entire day on every service day.,3,http://www.cityofmadison.com/metro/schedules/Route36/index.cfm,4D5613,000000
1853,MMT,37,,SHEB AV:PFLM RD,Serves Sheboygan Avenue to/from Pflaum Road. Operates regularly in Pflaum Road direction between about 6 AM and 9 AM and in Sheboygan Avenue direction between about 2 PM and 6 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/schedules/Route37/index.cfm,CB6B77,000000
1854,MMT,38,,SHEB AV:PFLM RD,Serves Pflaum Road to/from UW Campus-Sheboygan Avenue. Operates regularly in Sheboygan Avenue direction between about 5 AM and 9 AM and in Pflaum Road direction between about 3 PM and 6 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/schedules/Route38/index.cfm,8D89B3,000000
1855,MMT,39,,R HILL/DAIRY:EAST TP,Serves East Transfer Point to/from Dairy Drive-Richmond Hill. Operates regularly between about 6 AM and 6 PM on weekday service days; in Richmond Hill direction only between about 6 AM and 8 AM and in East Transfer Point direction only between about 3 PM and 6 PM.,3,http://www.cityofmadison.com/metro/schedules/Route39/index.cfm,6291A8,000000
1856,MMT,40,,ARBOR HL:SOUTH TP,Serves South Transfer Point to/from Arbor Hills. Operates regularly during entire day on every service day; via Stewart only between about 7 AM and 8 AM and 3 PM and 6 PM.,3,http://www.cityofmadison.com/metro/schedules/Route40/index.cfm,00ABCE,000000
2481,MMT,44,,CAMPUS:FITCHBRG/SOUTH TP,Serves Fitchburg-South Transfer Point to/from UW Campus. Operates regularly in UW Campus direction between about 6 AM and 9 AM and in Fitchburg direction between about 3 PM and 6 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/schedules/Route44/index.cfm,8F8A64,000000
1860,MMT,47,,CAP SQR:ARBOR HL,Serves Arbor Hills to/from Capitol Square. Operates regularly in both directions between about 6 AM and 9 AM and 3 PM and 6 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/schedules/Route47/index.cfm,885CA0,000000
1861,MMT,48,,CAMPUS:FITCHBRG/SOUTH TP,Serves UW Campus to/from South Transfer Point-Fitchburg. Operates regularly in Fitchburg direction between about 6 AM and 8 AM and in UW Campus direction between about 4 PM and 6 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/schedules/Route48/index.cfm,F171A9,000000
1862,MMT,50,,SCHRDR-RAYMND:WEST TP,Serves West Transfer Point to/from Schroeder-Raymond. Operates regularly during entire day on every service day.,3,http://www.cityofmadison.com/metro/schedules/Route50/index.cfm,F17225,000000
1863,MMT,51,,MUIR FD:WEST TP,Serves West Transfer Point to/from Muir Field. Operates regularly between about 9 AM and 3 PM and 6 PM and 11 PM on weekday service days; operates regularly during entire day on weekend and holiday/modified service days.,3,http://www.cityofmadison.com/metro/schedules/Route51/index.cfm,EE4D98,000000
3122,MMT,52,,WEST TP:FITCHBRG,Serves West Transfer Point to/from Fitchburg. Operates regularly in both directions between about 6 AM and 10 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/schedules/Route52/index.cfm,7C2A52,FFFFFF
2045,MMT,55,,WEST TP:VERONA,Serves West Transfer Point to/from Verona-Epic Campus. Operates limited trips in both directions in the morning and afternoon on weekday and modified service days only.,3,http://www.cityofmadison.com/metro/schedules/Route55/index.cfm,D5BC5B,000000
1865,MMT,56,,MCKEE:NORTH TP/WEST TP,Serves McKee Road to/from West Transfer Point-North Transfer Point. Operates regularly in North Transfer Point direction between about 6 AM and 9 AM and in McKee Road direction between about 3 PM and 6 PM on weekday service days only; operates regularly in both directions between McKee Road and West Transfer Point.,3,http://www.cityofmadison.com/metro/schedules/Route56/index.cfm,937A6C,000000
1866,MMT,57,,MCKEE:NORTH TP/WEST TP,Serves McKee Road to/from West Transfer Point-North Transfer Point. Operates regularly in North Transfer Point direction between about 6 AM and 9 AM and in McKee Road direction between about 3 PM and 6 PM on weekday service days only; operates regularly in both directions between McKee Road and West Transfer Point.,3,http://www.cityofmadison.com/metro/schedules/Route57/index.cfm,84743E,000000
1867,MMT,58,,CAP SQR:GRNTREE,Serves Greentree to/from Capitol Square. Operates regularly in Capitol Square direction between about 6 AM and 9 AM and in Greentree direction between about 3 PM and 6 PM on weekday service days only; limited trips in opposite direction during morning and afternoon.,3,http://www.cityofmadison.com/metro/schedules/Route58/index.cfm,A0A197,000000
3993,MMT,59,,WEST TP:FITCHBRG,Serves West Transfer Point to/from Fitchburg. Operates regularly in both directions during entire day on weekend and holiday/modified service days only.,3,http://www.cityofmadison.com/metro/schedules/Route59/index.cfm,FF9BCD,000000
2482,MMT,63,,WEST TP:PR TWN,Serves West Transfer Point to/from Prairie Towne Center. Operates regularly in both directions during entire day on weekend and holiday/modified service days only.,3,http://www.cityofmadison.com/metro/schedules/Route63/index.cfm,EAA01F,000000
2483,MMT,67,,W TOWNE:WEST TP,Serves West Transfer Point to/from West Towne Mall. Operates regularly during entire day on every service day.,3,http://www.cityofmadison.com/metro/schedules/Route67/index.cfm,5383A5,000000
2484,MMT,68,,WEST TP:PR TWN,Serves West Transfer Point to/from Prairie Towne Center. Operates regularly in both directions during entire day on weekend and holiday/modified service days only.,3,http://www.cityofmadison.com/metro/schedules/Route68/index.cfm,00A951,000000
2485,MMT,70,,CAP SQR:MDLTN TP,Serves Middleton Transfer Point to/from Capitol Square. Operates regularly between about 9 AM and 3 PM and 6 PM and 11 PM on weekday service days; limited trips in Capitol Square direction between about 5 AM and 6 AM.,3,http://www.cityofmadison.com/metro/schedules/Route70/index.cfm,A8B1DA,000000
2486,MMT,71,,CAP SQR:MDLTN TP,Serves Middleton Transfer Point to/from Capitol Square. Operates regularly in Capitol Square direction between about 6 AM and 9 AM and in Middleton Transfer Point direction between about 3 PM and 6 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/schedules/Route71/index.cfm,B67F72,000000
2487,MMT,72,,CAP SQR:MDLTN TP,Serves Middleton Transfer Point to/from Capitol Square. Operates regularly in Capitol Square direction between about 6 AM and 9 AM and in Middleton Transfer Point direction between about 3 PM and 6 PM on weekday service days only; limited trips in opposite direction during morning and afternoon.,3,http://www.cityofmadison.com/metro/schedules/Route72/index.cfm,98151F,FFFFFF
2488,MMT,73,,WEST TP:MDLTN TP,Serves West Transfer Point to/from Middleton Transfer Point. Operates regularly in both directions during entire day on every service day.,3,http://www.cityofmadison.com/metro/schedules/Route73/index.cfm,EDB819,000000
2489,MMT,74,,CAP SQR/MDLTN TP:BIZ PRK,Serves Capitol Square-Middleton Transfer Point to/from Middleton Business Park. Operates regularly in Middleton Transfer Point direction between about 6 AM and 8 AM and in Capitol Square direction between about 4 PM and 6 PM on weekday service days only; limited trips via Middleton Business Park between 11 AM and 1 PM.,3,http://www.cityofmadison.com/metro/schedules/Route74/index.cfm,CB5D2F,000000
5247,MMT,75,,CAP SQR:VERONA,Serves Capitol Square to/from Verona-Epic Campus. Operates limited trips in both directions in the morning and afternoon on weekday and modified service days only.,3,http://www.cityofmadison.com/metro/schedules/Route75/index.cfm,FF9400,000000
3729,MMT,78,,WEST TP:MDLTN,Serves West Transfer Point to/from Middleton. Operates regularly during entire day on Saturday and modified service days only.,3,http://www.cityofmadison.com/metro/schedules/Route78/index.cfm,1C0D81,FFFFFF
1872,MMT,80,,UW UNION:EAGLE HT,Serves Memorial Union to/from West Campus-Eagle Heights. Operates regularly in both directions during weekday and weekend UW standard and recess service days only; see UW service calendar printed in Metro Ride Guide or on Metro website.,3,http://www.cityofmadison.com/metro/schedules/Route80/index.cfm,CE3023,000000
1873,MMT,81,,OBSRV/JHNSN:UW UNION,Serves Memorial Union to/from Observatory-Johnson. Operates regularly on every service day between about 6 PM and 2 AM during UW standard service days only; see UW service calendar printed in Metro Ride Guide or on Metro website.,3,http://www.cityofmadison.com/metro/schedules/Route81/index.cfm,F48C23,000000
1874,MMT,82,,REGNT:UW UNION,Serves Memorial Union to/from Regent. Operates regularly on every service day between about 6 PM and 2 AM during UW standard service days only; see UW service calendar printed in Metro Ride Guide or on Metro website.,3,http://www.cityofmadison.com/metro/schedules/Route82/index.cfm,0068B5,000000
3643,MMT,84,,CAMPUS:EAGLE HT,Serves UW Campus to Eagle Heights. Operates regularly between about 4 PM and 6 PM during weekday UW standard and recess service days only; see UW service calendar printed in Metro Ride Guide or on Metro website.,3,http://www.cityofmadison.com/metro/schedules/Route84/index.cfm,A95305,000000
