stop_id,feature_type
39,1101
52,1101
60,1101
100,1101
104,1101
115,1101
133,1101
160,1101
167,1101
171,1101
178,1101
181,1101
184,1101
190,1101
192,1101
203,1004
235,1101
243,1101
252,1102
265,1102
274,1101
288,1105
327,1101
336,1101
346,1101
349,1101
406,1101
418,1101
435,1101
455,1101
459,1105
488,1101
506,1102
532,1104
533,1101
538,1101
549,1102
573,1104
581,1101
670,1101
692,1101
706,1101
715,1101
741,1101
795,1101
809,1104
843,1101
883,1102
898,1102
904,1101
926,1101
989,1101
1100,1102
1101,1102
1112,1101
1138,1101
1160,1101
1188,1101
1190,1101
1225,1101
1233,1101
1250,1101
1254,1101
1269,1101
1280,1101
1310,1102
1324,1102
1382,1101
1495,1102
1530,1101
1536,1101
1585,1101
1618,1101
1636,1101
1663,1102
1664,1101
1650,1101
1704,1101
1750,1101
1774,1101
1784,1101
1787,1102
1790,1101
1798,1101
1812,1101
1823,1102
1834,1101
1838,1101
1892,1105
2007,1104
2014,1104
2018,1004
2023,1004
2026,1104
2027,1104
2034,1104
2039,1004
2048,1104
2050,1104
2053,1004
2054,1004
2061,1104
2064,1004
2071,1104
2076,1104
2082,1104
2088,1104
2091,1004
2100,1104
2101,1104
2109,1101
2111,1101
2125,1104
2145,1104
2169,1101
2175,1101
2191,1101
2195,1104
2239,1101
2267,1104
2306,1101
2349,1004
2389,1101
2395,1101
2404,1101
2442,1104
2447,1101
2465,1101
2473,1104
2501,1105
2505,1101
2620,1004
2641,1101
2643,1101
2659,1101
2698,1101
2729,1101
2770,1104
2801,1101
2822,1104
2881,1004
2883,1101
2892,1101
2916,1104
2923,1101
2978,1104
2996,1104
3195,1101
3196,1101
3393,1101
3588,1101
3600,1101
4100,1105
4121,1101
4400,1105
4438,1101
4443,1101
4523,1101
4613,1101
4714,1101
4739,1003
4861,1101
4876,1101
4941,1003
4953,1101
5100,1105
5162,1101
5256,1101
5382,1101
5549,1101
5657,1004
5796,1101
5899,1101
6100,1105
6109,1101
6151,1101
6164,1105
6189,1101
6322,1101
6350,1105
6365,1005
6420,1003
6441,1101
6460,1101
6482,1101
6661,1003
6706,1102
6733,1101
6878,1101
6894,1101
6901,1101
6941,1105
7100,1105
7107,1101
7215,1101
7538,1101
7645,1101
7925,1101
8605,1101
9100,1104
9101,1104
9147,1101
9152,1101
9169,1104
9344,1101
9552,1101
9554,1101
9652,1101
9800,1105
9810,1101
56,2104
107,2101
161,2105
341,2104
367,2102
483,2104
505,2102
561,2104
688,2102
803,2102
890,2105
965,2105
971,2105
1117,2101
1141,2101
1163,2102
1164,2101
1199,2101
1388,2101
1412,2101
1481,2101
1488,2101
1513,2101
1558,2102
1664,2105
1682,2101
1692,2105
1730,2105
1757,2101
1767,2101
1842,2105
1846,2101
1878,2101
1898,2105
1938,2101
2121,2102
2200,2105
2255,2101
2387,2105
2435,2105
2500,2105
2562,2105
2566,2105
2597,2102
2608,2105
2673,2101
2711,2101
2749,2105
2812,2105
2937,2105
5536,2105
5625,2101
6191,2105
6700,2105
6902,2105
6921,2105
6965,2103
8512,2105
8514,2105
8829,2101
9172,2101
9322,2101
9361,2101
9740,2101
9874,2101
9897,2101
39,4110
52,4110
60,4110
100,4110
104,4110
115,4110
133,4110
147,4110
160,4110
161,4110
166,4110
167,4110
171,4110
174,4110
178,4110
181,4110
184,4110
190,4110
192,4110
203,4115
217,4110
234,4110
235,4110
243,4110
249,4110
251,4110
252,4110
265,4110
266,4110
274,4110
288,4115
320,4110
327,4110
336,4110
346,4110
349,4110
367,4110
391,4110
398,4110
406,4110
418,4110
428,4110
435,4110
438,4110
455,4110
456,4110
459,4115
488,4110
499,4110
505,4110
506,4110
519,4110
530,4110
532,4110
533,4110
538,4110
542,4110
546,4110
548,4110
549,4110
555,4110
568,4110
573,4110
581,4110
633,4110
670,4110
682,4110
688,4110
692,4110
706,4110
715,4110
741,4110
803,4110
809,4110
816,4110
839,4110
840,4110
841,4110
843,4110
883,4110
890,4110
898,4110
904,4110
916,4110
926,4110
941,4110
962,4110
967,4110
971,4110
989,4110
1100,4110
1101,4110
1112,4110
1116,4110
1138,4110
1141,4110
1156,4110
1157,4110
1160,4110
1161,4110
1177,4110
1188,4110
1190,4110
1199,4110
1233,4110
1250,4110
1254,4110
1269,4110
1280,4110
1293,4110
1301,4110
1310,4110
1311,4110
1324,4110
1325,4110
1329,4110
1333,4110
1341,4110
1350,4110
1382,4110
1404,4110
1462,4110
1481,4110
1488,4110
1495,4110
1530,4110
1536,4110
1558,4110
1585,4110
1618,4110
1636,4110
1650,4110
1663,4110
1689,4110
1704,4110
1707,4110
1717,4110
1730,4110
1750,4110
1751,4110
1767,4110
1774,4110
1777,4110
1784,4110
1787,4110
1790,4110
1798,4110
1812,4110
1823,4110
1828,4110
1831,4110
1834,4110
1838,4110
1878,4110
1883,4110
1892,4110
1922,4110
1936,4110
1938,4110
1966,4110
1968,4110
2007,4110
2014,4110
2018,4110
2023,4110
2026,4110
2027,4110
2034,4110
2039,4110
2048,4110
2050,4110
2053,4110
2054,4110
2061,4110
2071,4110
2076,4110
2082,4110
2088,4110
2091,4110
2100,4115
2101,4115
2109,4110
2111,4110
2125,4110
2131,4110
2145,4110
2146,4110
2169,4110
2175,4110
2184,4110
2191,4110
2192,4110
2195,4110
2200,4110
2201,4110
2239,4110
2255,4115
2263,4110
2267,4110
2270,4110
2306,4110
2349,4110
2376,4110
2389,4110
2393,4110
2395,4110
2401,4110
2404,4110
2433,4110
2435,4110
2442,4110
2447,4110
2465,4110
2473,4110
2487,4110
2501,4115
2505,4110
2509,4110
2524,4110
2561,4110
2595,4110
2605,4110
2608,4110
2620,4110
2641,4110
2643,4110
2659,4110
2673,4110
2698,4110
2702,4110
2714,4110
2717,4110
2729,4110
2737,4110
2770,4110
2773,4110
2801,4110
2812,4110
2822,4110
2881,4110
2883,4110
2892,4110
2916,4110
2923,4110
2945,4110
2978,4110
2996,4110
3195,4110
3196,4110
3259,4110
3368,4110
3393,4110
3588,4110
3600,4110
3732,4110
3841,4110
3913,4110
4100,4110
4121,4110
4122,4110
4139,4110
4179,4110
4325,4110
4360,4110
4400,4115
4412,4110
4438,4110
4446,4110
4449,4110
4523,4110
4613,4110
4714,4110
4739,4115
4841,4110
4849,4110
4861,4110
4876,4110
4941,4115
4945,4110
4953,4110
4957,4110
5100,4110
5109,4110
5162,4110
5256,4110
5287,4110
5346,4110
5366,4110
5382,4110
5421,4110
5536,4110
5549,4110
5657,4115
5705,4110
5748,4110
5765,4110
5796,4110
5823,4110
5856,4110
5899,4110
6100,4110
6105,4110
6109,4110
6151,4110
6164,4115
6189,4110
6219,4110
6223,4110
6269,4110
6281,4110
6322,4110
6350,4115
6365,4115
6418,4110
6441,4110
6460,4110
6482,4110
6588,4110
6661,4115
6701,4110
6724,4110
6733,4110
6878,4110
6883,4110
6894,4110
6901,4110
6921,4110
6938,4110
6941,4115
6984,4110
7100,4110
7107,4110
7176,4110
7190,4110
7215,4110
7232,4110
7538,4110
7633,4110
7640,4110
7645,4110
7739,4110
7834,4110
7925,4110
8100,4110
8101,4110
8119,4110
8124,4110
8131,4110
8166,4110
8180,4110
8239,4110
8281,4110
8297,4110
8310,4110
8323,4110
8352,4110
8401,4110
8405,4110
8512,4110
8605,4110
8759,4110
8779,4110
8826,4110
8893,4110
8937,4110
9100,4110
9116,4110
9131,4110
9134,4110
9147,4110
9152,4110
9169,4110
9198,4110
9285,4110
9322,4110
9344,4110
9370,4110
9438,4110
9545,4110
9552,4110
9554,4110
9573,4110
9633,4110
9652,4110
9675,4110
9753,4110
9800,4115
9810,4110
9812,4110
9897,4110
9951,4110
9989,4110
1100,4201
1101,4201
1310,4201
1324,4201
1495,4201
1787,4201
1823,4201
4100,4201
5100,4201
6100,4201
7100,4201
9169,4201
252,5102
265,5102
506,5102
549,5102
883,5102
898,5102
1100,5102
1101,5102
1310,5102
1324,5102
1495,5102
1650,5101
1663,5102
1787,5102
1823,5102
3195,5102
4100,5101
5100,5101
6100,5101
6350,5105
6701,5103
7100,5101
9147,5102
9800,5105
