stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,stop_jurisdiction,location_type,parent_station,position,direction,wheelchair_boarding
1110,1110,DAYTON & WISCONSIN [WB],This EVENT/DETOUR ONLY stop (#1110) is westbound on the 2 block of E DAYTON ST nearside of WISCONSIN AV,43.076428,-89.385920,MMT,CMAD,0,,nearside,westbound,1
1111,1111,DOTY & M L K JR [EB],This EVENT/DETOUR ONLY stop (#1111) is eastbound on the 1 block of W DOTY ST nearside of MARTIN LUTHER KING JR BLVD,43.072938,-89.382354,MMT,CMAD,0,,nearside,eastbound,1
1124,1124,FAIRCHILD & MAIN [SB],This EVENT/DETOUR ONLY stop (#1124) is southbound on the 98 block of S FAIRCHILD ST nearside of W MAIN ST,43.072467,-89.385273,MMT,CMAD,0,,nearside,southbound,1
1135,1135,WEBSTER & MIFFLIN [NB],This EVENT/DETOUR ONLY stop (#1135) is northbound on the 101 block of N WEBSTER ST farside of E MIFFLIN ST,43.077272,-89.383413,MMT,CMAD,0,,farside,northbound,1
1140,1140,EAST WASH & WEBSTER [WB],This EVENT/DETOUR ONLY stop (#1140) is westbound on the 200 block of E WASHINGTON AV nearside of N WEBSTER ST,43.076390,-89.381930,MMT,CMAD,0,,nearside,westbound,1
1146,1146,FAIRCHILD & WEST WASH [SB],This EVENT/DETOUR ONLY stop (#1146) is southbound on the 50 block of N FAIRCHILD ST nearside of W WASHINGTON AV,43.073504,-89.386724,MMT,CMAD,0,,nearside,southbound,1
1155,1155,WEBSTER & MAIN [NB],This EVENT/DETOUR ONLY stop (#1155) is northbound on the 99 block of S WEBSTER ST farside of E MAIN ST,43.075579,-89.381192,MMT,CMAD,0,,farside,northbound,1
1174,1174,DAYTON & STATE [WB],This EVENT/DETOUR ONLY stop (#1174) is westbound on the 198 block of W DAYTON ST nearside of STATE ST,43.075120,-89.387855,MMT,CMAD,0,,nearside,westbound,1
1189,1189,DOTY & PINCKNEY [EB],This EVENT/DETOUR ONLY stop (#1189) is eastbound on the 101 block of E DOTY ST nearside of S PINCKNEY ST,43.074111,-89.380724,MMT,CMAD,0,,farside,eastbound,1
10,0010,LANGDON & N PARK (WB),This stop (#0010) is westbound on the 898 block of LANGDON ST nearside PARK ST (N),43.075933,-89.400154,MMT,CMAD,0,,nearside,westbound,1
11,0011,LANGDON: ARRIVALS ONLY (WB),This stop (#0011) is for arrivals only westbound on the 898 block of LANGDON ST nearside PARK ST (N),43.075933,-89.399932,MMT,NONE,0,,nearside,westbound,1
4000,SoTP,SOUTH TRANSFER POINT,The South Transfer Point station is located at 2430 S PARK ST - just north of W BADGER RD,43.038854,-89.394696,MMT,MTSM,1,,,,1
4100,4100,SOUTH TRANSFER POINT,This stop (#4100) is on the pedestrian island at the South Transfer Point station,43.039101,-89.394589,MMT,MTSM,0,4000,adjacent,southbound,1
