from_stop_id,to_stop_id,transfer_type,min_transfer_time
11,10,0,
100,100,0,
243,243,0,
288,288,0,
519,519,0,
1100,1100,0,
1101,1101,0,
1188,1188,0,
1199,1199,0,
1209,1209,0,
1505,1505,0,
1636,1636,0,
1650,1650,0,
1753,1753,0,
1878,1878,0,
2112,2112,0,
2175,2175,0,
2376,2376,0,
2505,2505,0,
6476,6476,0,
6667,6667,0,
9100,9100,0,
9101,9101,0,
9801,9800,2,60
4101,4100,2,60
5101,5100,2,60
6101,6100,2,60
7101,7100,2,60
61,837,2,180
39,435,2,180
47,47,2,120
47,532,2,180
87,252,2,180
87,549,2,180
91,926,2,180
100,455,2,240
100,538,2,180
104,61,2,120
115,115,2,120
115,271,2,180
115,608,2,180
115,962,2,180
133,542,2,120
133,692,2,120
166,166,2,120
166,243,2,180
178,706,2,120
180,180,2,120
180,455,2,180
180,561,2,120
184,184,2,120
184,573,2,120
190,190,2,120
190,327,2,180
190,548,2,180
234,256,2,180
234,741,2,240
234,773,2,120
243,166,2,180
243,650,2,180
249,349,2,120
249,406,2,180
249,533,2,180
251,251,2,120
251,288,2,120
252,87,2,120
256,256,2,120
256,741,2,180
256,773,2,120
271,115,2,180
271,546,2,180
274,965,2,180
288,251,2,120
288,904,2,120
327,190,2,180
327,548,2,180
327,841,2,180
336,581,2,240
349,406,2,180
349,533,2,180
349,682,2,180
349,916,2,180
357,289,2,180
388,388,2,120
392,392,2,120
406,249,2,180
406,349,2,180
406,916,2,180
435,39,2,180
441,234,2,240
441,741,2,120
455,100,2,240
455,180,2,180
455,455,2,120
455,538,2,180
473,710,2,180
480,87,2,180
480,252,2,120
480,549,2,180
483,388,2,120
499,353,2,180
499,499,2,120
499,816,2,180
505,688,2,120
506,506,2,120
512,710,2,180
519,174,2,120
519,266,2,120
533,249,2,180
533,349,2,180
533,682,2,180
533,916,2,180
538,100,2,120
538,455,2,180
538,538,2,120
546,271,2,180
546,608,2,180
548,190,2,180
548,841,2,180
549,252,2,180
561,180,2,120
561,561,2,120
568,765,2,180
568,926,2,180
573,573,2,120
581,581,2,120
593,593,2,120
593,839,2,180
602,694,2,180
608,115,2,180
608,546,2,180
650,166,2,180
650,243,2,180
670,765,2,180
670,926,2,180
682,406,2,180
682,533,2,180
706,178,2,120
706,706,2,120
706,757,2,120
710,473,2,180
710,512,2,180
710,710,2,120
741,104,2,120
741,234,2,240
741,256,2,180
741,441,2,120
741,741,2,120
757,706,2,120
765,670,2,180
765,765,2,120
773,256,2,180
791,564,2,180
809,160,2,240
809,336,2,240
816,353,2,180
839,593,2,120
839,688,2,120
841,327,2,180
841,548,2,180
898,567,2,240
904,251,2,120
904,288,2,120
916,406,2,180
916,533,2,180
926,91,2,180
926,568,2,180
926,926,2,120
965,274,2,180
965,965,2,120
965,989,2,180
967,418,2,180
989,965,2,180
1100,1495,2,120
1100,1663,2,240
1100,1787,2,240
1112,1112,2,120
1112,1293,2,180
1112,1301,2,180
1112,1311,2,180
1125,1241,2,180
1138,1138,2,120
1150,1150,2,120
1150,1839,2,180
1169,1169,2,120
1169,1225,2,180
1169,7888,2,180
1188,1499,2,120
1188,1753,2,120
1225,1169,2,180
1225,1225,2,120
1225,7888,2,180
1223,1966,2,180
1233,1233,2,120
1233,1762,2,180
1233,1846,2,180
1241,1125,2,180
1241,1372,2,240
1250,1325,2,180
1250,1767,2,180
1269,1269,2,120
1269,1280,2,180
1278,1427,2,180
1278,1585,2,180
1280,1269,2,180
1280,1280,2,120
1293,1112,2,180
1293,1301,2,180
1293,1311,2,180
1301,1112,2,180
1301,1301,2,120
1301,1311,2,180
1301,1598,2,120
1310,1663,2,120
1311,1112,2,180
1311,1293,2,180
1311,1301,2,180
1311,1311,2,120
1324,1663,2,120
1350,1241,2,180
1350,1624,2,240
1350,1847,2,240
1372,1241,2,240
1427,1278,2,180
1427,1427,2,120
1427,1585,2,180
1472,1935,2,180
1480,1509,2,180
1495,1100,2,120
1499,1188,2,180
1499,1753,2,180
1509,1720,2,180
1518,1518,2,180
1518,1635,2,180
1518,1944,2,180
1530,1689,2,180
1585,1278,2,180
1585,1427,2,180
1598,1598,2,120
1624,1350,2,240
1643,1388,2,180
1643,1643,2,120
1650,1199,2,180
1663,1310,2,120
1663,1324,2,120
1704,1704,2,120
1712,1961,2,180
1720,1509,2,180
1753,1188,2,180
1753,1499,2,180
1780,1843,2,180
1784,1995,2,180
1787,1787,2,120
1790,1163,2,180
1823,1787,2,120
1831,1831,2,120
1839,1150,2,180
1843,1780,2,180
1843,1843,2,120
1847,1350,2,240
1890,1785,2,180
1892,1333,2,180
1892,1707,2,240
1901,1830,2,180
1901,1901,2,120
1905,1905,2,120
1944,1635,2,180
2003,532,2,120
2007,2007,2,120
2076,2076,2,120
2082,2082,2,120
2091,2091,2,120
2091,2125,2,120
2091,2916,2,120
2100,2100,2,120
2100,2101,2,120
2101,2100,2,120
2101,2101,2,120
2125,2091,2,120
2125,2125,2,120
2125,2916,2,120
2164,2306,2,180
2164,2855,2,180
2165,6243,2,180
2187,2433,2,180
2191,2191,2,120
2191,2200,2,180
2191,2812,2,180
2197,2892,2,180
2201,2366,2,180
2201,2509,2,180
2201,2798,2,180
2239,2192,2,180
2225,2282,2,180
2225,2397,2,180
2282,2225,2,180
2282,2630,2,180
2306,2164,2,180
2306,2899,2,180
2349,2023,2,120
2349,2349,2,120
2349,2620,2,120
2366,2509,2,180
2366,2798,2,180
2377,2377,2,120
2383,2383,2,120
2383,2522,2,120
2393,2822,2,180
2397,2630,2,180
2465,2131,2,120
2465,2465,2,120
2465,2494,2,240
2465,2698,2,180
2480,2499,2,180
2494,2465,2,240
2494,2698,2,240
2505,2112,2,180
2509,2201,2,180
2509,2366,2,180
2522,2383,2,120
2522,2522,2,120
2522,2778,2,180
2522,2801,2,240
2561,2561,2,120
2561,2643,2,180
2562,2641,2,120
2567,2718,2,180
2576,2465,2,180
2576,2698,2,180
2605,2880,2,180
2630,2282,2,180
2630,2397,2,180
2641,2562,2,120
2643,2561,2,180
2643,2643,2,120
2665,2778,2,180
2698,2131,2,180
2698,2465,2,180
2698,2494,2,240
2698,2698,2,120
2702,2702,2,120
2718,2567,2,180
2718,2824,2,180
2737,2134,2,180
2737,2874,2,180
2798,2201,2,180
2798,2366,2,180
