route_id,route_short_name,service_id,trip_id,trip_headsign,direction_id,direction_name,block_id,shape_id,shape_code,trip_type,trip_sort,wheelchair_accessible
6544,01,67_WKD,689907,CAPITOL SQUARE,0,CapSq,167315,40753,1E,,35820,1
6544,01,67_WKD,689908,CAPITOL SQUARE,0,CapSq,167316,40753,1E,,39420,1
6544,01,67_WKD,689909,CAPITOL SQUARE,0,CapSq,167315,40753,1E,,43020,1
6544,01,67_WKD,689910,CAPITOL SQUARE,0,CapSq,167316,40753,1E,,46620,1
6544,01,67_WKD,689911,CAPITOL SQUARE,0,CapSq,167315,40753,1E,,50220,1
6544,01,67_WKD,689912,CAPITOL SQUARE,0,CapSq,167316,40753,1E,,53820,1
6544,01,67_WKD,689913,OLD UNIV AV: VIA CAMPUS,1,Old University,167315,40754,1W,,34560,1
6544,01,67_WKD,689914,OLD UNIV AV: VIA CAMPUS,1,Old University,167316,40754,1W,,38160,1
6544,01,67_WKD,689915,OLD UNIV AV: VIA CAMPUS,1,Old University,167315,40754,1W,,41760,1
6544,01,67_WKD,689916,OLD UNIV AV: VIA CAMPUS,1,Old University,167316,40754,1W,,45360,1
6544,01,67_WKD,689917,OLD UNIV AV: VIA CAMPUS,1,Old University,167315,40754,1W,,48960,1
6544,01,67_WKD,689918,OLD UNIV AV: VIA CAMPUS,1,Old University,167316,40754,1W,,52560,1
6545,02,67_WKD,689943,NORTH TFR PT: VIA SHERMAN,0,NTP,167321,40757,2S,,19800,1
6545,02,67_WKD,689944,NORTH TFR PT: VIA FORDEM,0,NTP,167322,40755,2F,C,21600,1
6545,02,67_WKD,689980,CAPITOL SQUARE,0,NTP,167341,40756,2Q,,22500,1
6545,02,67_WKD,689962,NORTH TFR PT: VIA SHERMAN,0,NTP,167331,40757,2S,,23400,1
6545,02,67_WKD,689981,CAPITOL SQUARE,0,NTP,167342,40756,2Q,,24300,1
6545,02,67_WKD,689945,NORTH TFR PT: VIA FORDEM,0,NTP,167323,40755,2F,,25200,1
6545,02,67_WKD,689982,CAPITOL SQUARE,0,NTP,167343,40756,2Q,,26100,1
6545,02,67_WKD,689963,NORTH TFR PT: VIA SHERMAN,0,NTP,167327,40757,2S,,27000,1
6545,02,67_WKD,689984,CAPITOL SQUARE,0,NTP,167322,40756,2Q,,27900,1
6545,02,67_WKD,689946,NORTH TFR PT: VIA FORDEM,0,NTP,167324,40755,2F,,28800,1
6545,02,67_WKD,689985,CAPITOL SQUARE,0,NTP,167345,40756,2Q,,29700,1
6545,02,67_WKD,689964,NORTH TFR PT: VIA SHERMAN,0,NTP,167328,40757,2S,,30600,1
6545,02,67_WKD,689983,CAPITOL SQUARE,0,NTP,167344,40756,2Q,,31500,1
6545,02,67_WKD,689947,NORTH TFR PT: VIA FORDEM,0,NTP,167325,40755,2F,,32400,1
6545,02,67_WKD,689986,CAPITOL SQUARE,0,NTP,167346,40756,2Q,,33300,1
6545,02,67_WKD,689965,NORTH TFR PT: VIA SHERMAN,0,NTP,167329,40757,2S,,34200,1
